nombre;grupo_nutricional;cantidad_base;unidad_medida;calorias_kcal;proteina_g;lipidos_g;carbohidratos_g
Manzana;Frutas;1;pieza;95;0;0;25
Plátano;Frutas;1;pieza;105;1;0;27
Naranja;Frutas;1;pieza;62;1;0;15
Mango;Frutas;1;pieza;99;1;1;25
Papaya;Frutas;1;taza;55;1;0;14
Sandía;Frutas;1;taza;46;1;0;11
Piña;Frutas;1;taza;82;1;0;22
Uvas;Frutas;1;taza;104;1;0;27
Pechuga de pollo cocida;AOA;100;gramos;165;31;4;0
Carne de res magra;AOA;100;gramos;250;26;15;0
Carne molida 90/10;AOA;100;gramos;176;26;10;0
Huevo entero;AOA;1;pieza;70;6;5;1
Claras de huevo;AOA;100;gramos;52;11;0;1
Atún en agua;AOA;100;gramos;116;26;1;0
Salmón;AOA;100;gramos;208;20;13;0
Leche descremada;Lácteos;1;taza;90;9;0;12
Leche entera;Lácteos;1;taza;150;8;8;12
Yogur griego natural;Lácteos;1;taza;130;23;0;9
Queso panela;Lácteos;100;gramos;200;18;14;2
Avena en hojuelas;Cereales;30;gramos;117;4;2;20
Arroz blanco cocido;Cereales;1;taza;205;4;0;45
Arroz integral cocido;Cereales;1;taza;216;5;2;45
Tortilla de maíz;Cereales;1;pieza;60;2;1;12
Pan integral;Cereales;1;rebanada;69;4;1;12
Pasta cocida;Cereales;1;taza;220;8;1;43
Papa cocida;Verduras;1;pieza;110;3;0;26
Camote;Verduras;1;pieza;112;2;0;26
Brócoli;Verduras;1;taza;55;4;1;11
Espinaca;Verduras;1;taza;7;1;0;1
Zanahoria;Verduras;1;pieza;25;1;0;6
Lechuga;Verduras;1;taza;5;0;0;1
Jitomate;Verduras;1;pieza;22;1;0;5
Aguacate;Grasas;0.5;pieza;120;1;11;6
Aceite de oliva;Grasas;1;cucharada;119;0;14;0
Aceite vegetal;Grasas;1;cucharada;120;0;14;0
Almendras;Grasas;30;gramos;174;6;15;6
Nueces;Grasas;30;gramos;185;4;18;4
Crema de cacahuate;Grasas;1;cucharada;94;4;8;3
Frijoles cocidos;Leguminosas;1;taza;227;15;1;40
Lentejas cocidas;Leguminosas;1;taza;230;18;1;40
Garbanzos cocidos;Leguminosas;1;taza;269;14;4;45
Kiwi;Frutas;1;pieza;42;1;0;10
Pera;Frutas;1;pieza;101;1;0;27
Durazno;Frutas;1;pieza;58;1;0;14
Guayaba;Frutas;1;pieza;37;1;0;8
Cereza;Frutas;1;taza;97;2;0;25
Mandarina;Frutas;1;pieza;47;1;0;12
Tilapia;AOA;100;gramos;128;26;2;0
Chuleta de cerdo;AOA;100;gramos;231;25;14;0
Pavo (pechuga) cocido;AOA;100;gramos;135;30;1;0
Sardinas en agua;AOA;100;gramos;185;25;10;0
Queso cottage;Lácteos;1;taza;206;24;9;8
Queso manchego;Lácteos;100;gramos;402;25;33;1
Kéfir natural;Lácteos;1;taza;110;9;2;12
Quinoa cocida;Cereales;1;taza;222;8;4;39
Cuscús cocido;Cereales;1;taza;176;6;0;36
Granola;Cereales;30;gramos;140;3;5;20
Elote cocido;Verduras;1;pieza;99;3;1;21
Calabacita;Verduras;1;taza;20;1;0;4
Pepino;Verduras;1;taza;16;1;0;4
Champiñones;Verduras;1;taza;15;2;0;2
Berenjena;Verduras;1;taza;35;1;0;8
Coliflor;Verduras;1;taza;25;2;0;5
Semillas de chía;Grasas;30;gramos;138;5;9;12
Semillas de girasol;Grasas;30;gramos;165;6;14;6
Mantequilla;Grasas;1;cucharada;102;0;12;0
Tofu firme;Leguminosas;100;gramos;144;15;9;3
Edamame;Leguminosas;1;taza;188;18;8;14
Toronja;Frutas;1;pieza;52;1;0;13
Arándanos;Frutas;1;taza;84;1;0;21
Frambuesa;Frutas;1;taza;64;1;1;15
Granada;Frutas;1;pieza;234;5;3;53
Higo fresco;Frutas;1;pieza;37;0;0;10
Ciruela;Frutas;1;pieza;30;0;0;8
Cordero magro;AOA;100;gramos;294;25;21;0
Jamón de pavo;AOA;100;gramos;135;20;5;2
Bacalao;AOA;100;gramos;82;18;1;0
Trucha;AOA;100;gramos;190;27;8;0
Pulpo;AOA;100;gramos;82;15;1;2
Requesón;Lácteos;100;gramos;174;11;13;3
Queso Oaxaca;Lácteos;100;gramos;356;22;28;2
Leche de soya sin azúcar;Lácteos;1;taza;80;7;4;4
Amaranto;Cereales;30;gramos;111;4;2;19
Cebada cocida;Cereales;1;taza;193;4;1;44
Harina de maíz;Cereales;30;gramos;110;2;1;23
Pan blanco;Cereales;1;rebanada;66;2;1;13
Yuca cocida;Verduras;1;taza;330;3;1;78
Chayote;Verduras;1;taza;25;1;0;6
Nopal;Verduras;1;taza;16;1;0;3
Acelga;Verduras;1;taza;7;1;0;1
Col (repollo);Verduras;1;taza;22;1;0;5
Aceitunas;Grasas;30;gramos;43;0;4;2
Semillas de calabaza;Grasas;30;gramos;151;7;13;5
Aceite de coco;Grasas;1;cucharada;121;0;14;0
Habichuelas cocidas;Leguminosas;1;taza;225;15;1;40
Soya cocida;Leguminosas;1;taza;298;29;15;17
