Parte del cuerpo;Tipo de músculo;Ejercicio;Series;Repeticiones por serie
Pecho;Pecho superior;Press inclinado con mancuernas;3-4;8-12
Pecho;Pecho superior;Cruces en polea inclinados;3-4;10-15
Pecho;Pecho superior;Aperturas inclinadas con mancuernas;3-4;10-15
Pecho;Pecho inferior;Press declinado con mancuernas;3-4;8-12
Pecho;Pecho inferior;Cruces en polea declinados;3-4;10-15
Pecho;Pecho inferior;Aperturas declinadas con mancuernas;3-4;10-15
Pecho;Aislamiento de pecho;Aperturas de pecho;3-4;10-15
Pecho;Aislamiento de pecho;Cruces en polea;3-4;10-15
Pecho;Aislamiento de pecho;Aperturas con mancuernas;3-4;10-15
Espalda;Superior;Dominadas;3-4;8-12
Espalda;Superior;Remo con barra;3-4;8-12
Espalda;Superior;Remo con mancuernas;3-4;8-12
Espalda;Superior;Remo en polea sentado;3-4;8-12
Espalda;Inferior;Remo inclinado;3-4;8-12
Espalda;Inferior;Hiperextensiones;3-4;10-15
Espalda;Inferior;Bird dog;3 series;10-15 por lado
Brazos;Bíceps;Curl con barra;3-4;8-12
Brazos;Bíceps;Curl con mancuernas;3-4;8-12
Brazos;Bíceps;Curl predicador;3-4;8-12
Brazos;Bíceps;Curl martillo;3-4;8-12
Brazos;Bíceps;Curl concentración;3-4;8-12
Brazos;Tríceps;Press cerrado;3-4;8-12
Brazos;Tríceps;Extensiones por encima de la cabeza;3-4;8-12
Brazos;Tríceps;Jalones en polea;3-4;8-12
Brazos;Tríceps;Rompecráneos;3-4;8-12
Brazos;Tríceps;Fondos de tríceps;3-5;8-13
Piernas;Cuádriceps;Sentadillas con barra;3-4;8-12
Piernas;Cuádriceps;Prensa de piernas;3-4;8-12
Piernas;Cuádriceps;Extensiones de pierna;3-4;10-15
Piernas;Isquiotibiales;Peso muerto rumano;3-4;8-12
Piernas;Isquiotibiales;Curl de piernas;3-4;10-15
Piernas;Glúteos;Hip thrust con barra;3-4;8-12
Piernas;Glúteos;Patadas de burro;3 series;10-15 por pierna
Piernas;Pantorrillas;Elevaciones de talón de pie;3 series;15-20
Piernas;Pantorrillas;Elevaciones de talón sentado;3 series;15-21
Hombros;Anterior;Elevaciones frontales con mancuernas;3-4;8-12
Hombros;Anterior;Press militar;3-4;8-12
Hombros;Lateral;Elevaciones laterales;3-4;10-15
Hombros;Posterior;Elevaciones posteriores inclinadas;3-4;10-15
Hombros;Posterior;Face pull;3-4;10-15
Abdomen;Superior;Crunches;3-4;10-15
Abdomen;Superior;Elevaciones de piernas;3-4;10-15
Abdomen;Medio;Crunch bicicleta;3-4;10-15
Abdomen;Medio;Giros rusos;3-4;10-15
Abdomen;Inferior;Elevaciones de piernas colgado;3-4;10-15
Abdomen;Inferior;Plancha;1;30-60 segundos
Antebrazos;Flexores;Curl de muñeca;3-4;10-15
Antebrazos;Extensores;Extensión de muñeca;3-4;10-15
Antebrazos;Fuerza de agarre;Pinza con discos;3-4;15-20
Antebrazos;Fuerza de agarre;Dominadas con toalla;3-4;10-15
Antebrazos;Fuerza de agarre;Curl con agarre grueso;3-4;10-15
Antebrazos;Fuerza de agarre;Curl martillo;3-4;10-15
